taxon,logFC_PC_vs_NC,logFC_G25_vs_NC,logFC_G50_vs_NC,delta_G25,delta_G50,min_delta,best_dose,mean_abundance
d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus,4.913361181721288,3.901926747228617,4.476888708668876,1.0114344344926707,0.43647247305241166,0.43647247305241166,G50,0.003143720705995036
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Elsterales; f__uncultured; g__uncultured,9.825789205902213,9.380076974920316,0.0,0.44571223098189705,9.825789205902213,0.44571223098189705,G25,0.00039296120791146695
d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Macrococcus,9.923226604305556,0.0,10.4459315854545,9.923226604305556,0.5227049811489444,0.5227049811489444,G50,0.0005909545458190273
d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__uncultured,10.280594049937633,10.809628597239103,0.0,0.5290345473014693,10.280594049937633,0.5290345473014693,G25,0.000759168507840785
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Afipia,10.582833365550467,10.049865646755466,0.0,0.5329677187950015,10.582833365550467,0.5329677187950015,G25,0.0006479368497383169
d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Isosphaerales; f__Isosphaeraceae; g__uncultured,1.2960011153856104,1.8529240052247242,-1.015854362796402,0.5569228898391139,2.3118554781820126,0.5569228898391139,G25,0.000896756809976502
d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Tepidisphaerales; f__WD2101_soil_group; g__WD2101_soil_group,11.140056142851375,10.582384823840156,0.0,0.5576713190112184,11.140056142851375,0.5576713190112184,G25,0.0009470118909176981
d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_sensu_stricto_8,-0.6614915629405301,-10.712117681767158,-1.2620791689764412,10.050626118826628,0.6005876060359111,0.6005876060359111,G50,0.0008586316833358127
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae,-0.22979630850332508,0.37906482975970174,1.8926207501259904,0.6088611382630268,2.1224170586293156,0.6088611382630268,G25,0.001191086990427811
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Incertae_Sedis,7.773385113788855,0.0,8.392232919191711,7.773385113788855,0.6188478054028561,0.6188478054028561,G50,0.00013819190224400007
d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_vadinBB60_group; f__Clostridia_vadinBB60_group; g__Clostridia_vadinBB60_group,8.18855006481579,8.820392819022969,0.0,0.6318427542071792,8.18855006481579,0.6318427542071792,G25,0.00018545229109860324
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__uncultured,10.969093467838151,10.334633724783629,10.15658884730916,0.6344597430545225,0.8125046205289905,0.6344597430545225,G25,0.001108578855680247
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Gardnerella,-0.6114888672139339,-11.18586471240182,0.029175120723194194,10.574375845187886,0.6406639879371281,0.6406639879371281,G50,0.0015571385518183517
d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus,0.3938332489728265,-0.9140695610771798,1.03624647980168,1.3079028100500063,0.6424132308288535,0.6424132308288535,G50,0.018971792976693623
d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Salinicoccus,9.601669933261807,10.25779100733127,6.111046647476922,0.6561210740694641,3.490623285784885,0.6561210740694641,G25,0.000516852129022612
d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia,3.5837130671484543,2.9262571470426155,-2.264997239079279,0.6574559201058388,5.8487103062277335,0.6574559201058388,G25,0.0018812962840289288
d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Facklamia,2.118880007790046,-9.005613030134114,2.813450432997136,11.12449303792416,0.6945704252070901,0.6945704252070901,G50,0.0015891940599825141
d__Bacteria; p__Deinococcota; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus,1.7108762877506458,1.0045178047274468,-2.2024963098506207,0.706358483023199,3.9133725976012665,0.706358483023199,G25,0.001852291579195373
d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus,1.726831122919609,-8.499834377451807,1.0044309632702062,10.226665500371416,0.7224001596494027,0.7224001596494027,G50,0.0005708571818449858
d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus,-0.856377711334315,9.008952352694038e-05,-0.06596047865889952,0.8564678008578419,0.7904172326754154,0.7904172326754154,G50,0.7130046332408729
d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae,3.7058347804737637,2.8478896805783345,1.5477831976726415,0.8579450998954292,2.1580515828011224,0.8579450998954292,G25,0.008616194155773298
d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus,0.9915229676006706,-1.1494406582744212,0.11253054566752453,2.140963625875092,0.8789924219331461,0.8789924219331461,G50,0.007952587060720485
d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio,2.37764404920635,3.261300557331451,-0.12245718860502634,0.8836565081251009,2.5001012378113767,0.8836565081251009,G25,0.0009552943876761211
