taxon_level6_or_lowest	P1-1-JC-G50	P1-1-JC-NC	P1-2-JC-G25	P1-2-JC-G50	P1-2-JC-PC	P1-3-JC-G25	P1-3-JC-G50	P1-3-JC-NC	P1-3-JC-PC	P1-4-JC-G25	P1-4-JC-NC	P1-4-JC-PC	P1-5-JC-G50	P1-5-JC-PC	P1-6-JC-G50	P1-7-JC-G25	P1-7-JC-G50	P1-7-JC-NC	P1-7-JC-PC
d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcales-Tissierellales; g__Alkaliphilus	32	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	17	0
d__Bacteria; p__Firmicutes	4	0	0	0	0	0	0	0	0	0	0	35	0	2	18	0	0	0	0
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales	0	0	0	0	0	0	0	0	0	0	0	47	0	11	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	0	0	0	0	0	0	0	0	0	0	0	0	8	49	0	0	0	0	0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Tsukamurellaceae; g__Tsukamurella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	12	0
d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadaceae; g__Candidatus_Saccharimonas	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	48
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas	0	0	0	4	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0
d__Bacteria; p__Cyanobacteria; c__Vampirivibrionia; o__Gastranaerophilales; f__Gastranaerophilales; g__Gastranaerophilales	0	0	0	0	0	0	0	0	0	0	0	0	4	21	0	0	0	0	27
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Puia	0	0	0	0	0	0	0	0	0	0	0	37	0	12	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_vadinBB60_group; f__Clostridia_vadinBB60_group; g__Clostridia_vadinBB60_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	19
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Dermacoccaceae; g__Dermacoccaceae	0	0	0	0	0	0	0	0	7	0	0	32	8	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium-Methylorubrum	0	0	0	0	0	31	0	0	0	0	0	15	0	0	0	0	0	0	0
d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__Absconditabacteriales_(SR1); f__Absconditabacteriales_(SR1); g__Absconditabacteriales_(SR1)	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	8
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Tessaracoccus	0	0	0	20	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia; f__Hungateiclostridiaceae; g__Fastidiosipila	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae	0	0	0	0	0	0	0	0	18	0	0	26	0	0	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	12	24	0	0	0	5
d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__Pirellula	0	0	0	0	0	0	0	0	0	0	0	0	0	29	7	0	0	0	0
d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Faecalitalea	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	23
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Rikenellaceae_RC9_gut_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	9
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__WD260; f__WD260; g__WD260	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	12	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiales_Incertae_Sedis; g__Phreatobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	3
d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bacteriovoracales; f__Bacteriovoracaceae; g__Peredibacter	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	18	0	0	0
d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Proteiniclasticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	23
d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia; f__Hungateiclostridiaceae; g__uncultured	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	4
d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Herpetosiphonaceae; g__Herpetosiphon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	19
d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Atopostipes	0	0	0	0	6	0	0	0	20	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__CAG-352	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	18
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia-Caballeronia-Paraburkholderia	0	0	0	0	0	0	0	0	0	0	0	12	0	6	0	0	0	0	0
