metric,group,mean_distance,sd_distance,n_pairs
Bray-Curtis,NC,0.7475998385157363,0.137547645032201,20
Bray-Curtis,G25,0.7390816963357303,0.14551613549332873,20
Bray-Curtis,G50,0.710793784492948,0.125544991157738,30
Weighted UniFrac,NC,0.24988267474184353,0.09658975976277694,20
Weighted UniFrac,G25,0.2482737903913209,0.07864008882714948,20
Weighted UniFrac,G50,0.2261503389334288,0.08502677375097396,30
