"Feature","W","p_val","q_val","diff_abn"
"uncultured.33",18.6608450838498,0,0,TRUE
"uncultured.34",0.292238428730914,0.0770368972007157,0.410483654244805,FALSE
"Clostridia_UCG-014",20.4782574652573,0,0,TRUE
"uncultured.35",2.14117672589783,0.912745097891002,0.982505747957206,FALSE
"Unassigned.41",2.41281876783555,0.982505747957206,0.982505747957206,FALSE
"Unassigned.42",1.24813463544593,0.517031453227364,0.858257687208264,FALSE
"Monoglobus",1.29600206957246,0.539834714425757,0.858257687208264,FALSE
"Fastidiosipila",0.979371093707025,0.38751326111009,0.791790182642462,FALSE
"Peptococcus",1.76840960834316,0.756333266791269,0.97321893077986,FALSE
"Alkaliphilus",21.7663622525916,0,0,TRUE
"Anaerovorax",1.07801360336573,0.43523167618523,0.813070164302077,FALSE
"Romboutsia",25.4857570049559,0,0,TRUE
"Acetoanaerobium",2.94163529798112,0.801423358350049,0.982505747957206,FALSE
"Gallicola",2.17941595374502,0.927971683337855,0.982505747957206,FALSE
"Peptoniphilus",2.21677204372242,0.94269527687114,0.982505747957206,FALSE
"Unassigned.44",0.911980741683774,0.354928680091321,0.783608774227591,FALSE
"Tissierella",4.54536977897325,0,0,TRUE
"Sedimentibacter",11.8423107084919,0,0,TRUE
"Christensenellaceae_R-7_group",4.95160394014803,0,0,TRUE
"Clostridium_sensu_stricto_1",6.58258962494106,0,0,TRUE
"Clostridium_sensu_stricto_3",1.49823559179194,0.634644770649403,0.906635386642004,FALSE
"Clostridium_sensu_stricto_13",5.54452945708939,0.271998778220762,0.758029381926714,FALSE
"Proteiniclasticum",3.89860620218052,0.54524606010878,0.858257687208264,FALSE
"Clostridium_sensu_stricto_8",11.8994816463466,0,0,TRUE
"Clostridium_sensu_stricto_16",20.7044569758524,0.000242503727517068,0.0045930801780933,TRUE
"Veillonella",9.97968346199177,0,0,TRUE
"Megamonas",3.11473144580646,0.748543765143019,0.97321893077986,FALSE
"Sporomusa",2.84062526395081,0,0,TRUE
"Anaerosporomusa",2.12108659958324,0.904682811536998,0.982505747957206,FALSE
"Unassigned.45",0.901516997293046,0.349876585421231,0.783608774227591,FALSE
"Turicibacter",15.9387205692459,0,0,TRUE
"Faecalitalea",0.360627674839994,0.103499540065298,0.475015166035011,FALSE
"UCG-004",0.929998561187513,0.363633821989596,0.7850932362052,FALSE
"Erysipelatoclostridium",2.68625582412455,0.88513605675568,0.982505747957206,FALSE
"Paenibacillus",7.89664744214645,0.0963933757499138,0.455190941041259,FALSE
"Vagococcus",1.54916025043279,0.658056964113319,0.90950962519727,FALSE
"Enterococcus",18.0588962071625,0.000855433897718036,0.0103874116151476,TRUE
"Desemzia",2.25589357002985,0,0,TRUE
"Domibacillus",1.26061450022406,0,0,TRUE
"Salinicoccus",1.7612380157709,0.753187839718777,0.97321893077986,FALSE
"Jeotgalicoccus",0.0648891149101334,0.00862319032610579,0.0698067788303802,FALSE
"Unassigned.48",0.471535675035341,0.14980221968302,0.571213962613445,FALSE
"Nosocomiicoccus",0.814207532575306,0.307868304009641,0.783608774227591,FALSE
"Staphylococcus",2.56244641710613,0.928222484754722,0.982505747957206,FALSE
"Macrococcus",2.96198536993698,0.795046993569287,0.982505747957206,FALSE
"Bacillus",4.02137484993977,0.518330526941441,0.858257687208264,FALSE
"Unassigned.50",3.0633207035141,0.7639300651384,0.97321893077986,FALSE
"Lysinibacillus",0.600822431306419,0.207511858625864,0.629670735025579,FALSE
"Unassigned.51",0.761146332694105,0.282528154345311,0.762377559344491,FALSE
"Aerococcus",5.23485942383526,0,0,TRUE
"Facklamia",4.15132428979529,0.491161309950759,0.846777317913783,FALSE
"Atopostipes",0.293788803046559,0.0776152505289477,0.410483654244805,FALSE
"Weissella",2.28970321625781,0.971007266077113,0.982505747957206,FALSE
"Lactococcus",3.65163215760732,0.603243701076506,0.892105187652599,FALSE
"Streptococcus",7.07189444654887,0.139282429684509,0.5533190738316,FALSE
"Lactobacillus",13.2470899575703,0.00826323353433941,0.0698067788303802,FALSE
