feature,logFC_PC_vs_NC,logFC_G25_vs_NC,logFC_G50_vs_NC,delta_G25,delta_G50,min_delta,best_dose,verified_name,id_system,verification_status,source_type,source_note
PWY-5910,-0.564896532002753,-0.662166891653605,-0.177847087814108,0.0972703596508527,0.387049444188645,0.0972703596508527,G25,superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc/BioCyc.
PWY-6906,0.145732549228529,-14.1883960875198,0.245660887636763,14.3341286367483,0.0999283384082347,0.0999283384082347,G50,,,,,
PWY-7211,0.348564465635887,-0.239289883020905,0.457822621781588,0.587854348656792,0.109258156145701,0.109258156145701,G50,,,,,
LACTOSECAT-PWY,0.726472406790517,-0.591060896098094,0.616057691993359,1.31753330288861,0.110414714797157,0.110414714797157,G50,,,,,
CHLOROPHYLL-SYN,15.2295157585607,13.9916319088657,15.3440480597511,1.23788384969503,0.114532301190435,0.114532301190435,G50,,,,,
PWY-6396,-0.179135235984812,-1.7219858478205,-0.299253322716845,1.54285061183569,0.120118086732033,0.120118086732033,G50,,,,,
PRPP-PWY,0.162825398749907,-0.309359742071356,0.288770166031351,0.472185140821263,0.125944767281444,0.125944767281444,G50,,,,,
HEXITOLDEGSUPER-PWY,0.452781494924622,-0.72272453463725,0.316765586959086,1.17550602956187,0.136015907965536,0.136015907965536,G50,,,,,
PWY-5384,-1.19561192830238,-2.71590236884399,-1.33307534120364,1.52029044054161,0.137463412901262,0.137463412901262,G50,sucrose degradation IV (sucrose phosphorylase),MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from BioCyc-linked pathway pages for PWY-5384.
GLUCARDEG-PWY,1.79336338792157,1.63803360369222,-0.113763567473117,0.155329784229356,1.90712695539469,0.155329784229356,G25,,,,,
PWY-5838,0.681461534536067,0.395337654018303,0.523689886347305,0.286123880517764,0.157771648188762,0.157771648188762,G50,,,,,
PWY-6470,0.0232842876620646,-0.749196761383618,0.183434784659745,0.772481049045682,0.160150496997681,0.160150496997681,G50,,,,,
OANTIGEN-PWY,-0.0812557977138883,-0.655337927307445,-0.250429141830575,0.574082129593556,0.169173344116687,0.169173344116687,G50,,,,,
PWY-5088,2.95050543246633,-13.4632147912979,2.77848106022107,16.4137202237642,0.172024372245258,0.172024372245258,G50,,,,,
PWY-7315,2.99738302992558,2.82058008249934,1.89341924212156,0.176802947426246,1.10396378780403,0.176802947426246,G25,,,,,
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,0.623052935216031,-0.536080247653407,0.800656167342776,1.15913318286944,0.177603232126745,0.177603232126745,G50,,,,,
PWY-922,-0.559498428211832,-0.740380057709124,-0.196774752958044,0.180881629497292,0.362723675253787,0.180881629497292,G25,mevalonate pathway I (eukaryotes and bacteria),MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc/BioCyc.
PWY-7446,12.3200286895649,0,12.1337259645505,12.3200286895649,0.186302725014427,0.186302725014427,G50,,,,,
GLYCOLYSIS-E-D,0.0298993526104458,-1.09482661286208,-0.162946401150439,1.12472596547253,0.192845753760885,0.192845753760885,G50,Entner-Doudoroff pathway,MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc-linked references for GLYCOLYSIS-E-D.
PWY-7456,2.85760607002749,2.66104977048656,1.84818047176076,0.196556299540935,1.00942559826674,0.196556299540935,G25,"beta-(1,4)-mannan degradation",MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc-derived pathway pages for PWY-7456.
PWY-5154,0.999590406798727,0.285006527869218,0.785864826562642,0.714583878929509,0.213725580236085,0.213725580236085,G50,,,,,
P162-PWY,3.18545642880391,2.97156264185297,1.20072687745096,0.213893786950949,1.98472955135296,0.213893786950949,G25,,,,,
PWY-7644,11.8624920425248,0,11.6345232037499,11.8624920425248,0.227968838774888,0.227968838774888,G50,,,,,
HOMOSER-METSYN-PWY,0.172006670187807,-0.999792283198942,-0.0584233689671725,1.17179895338675,0.23043003915498,0.23043003915498,G50,,,,,
GLYCOLYSIS-TCA-GLYOX-BYPASS,0.684530304013646,-0.464048516341801,0.452820182458231,1.14857882035545,0.231710121555415,0.231710121555415,G50,,,,,
PWY-5659,0.33223526130901,-0.585508475421534,0.0976632517916006,0.917743736730544,0.234572009517409,0.234572009517409,G50,,,,,
PWY1G-0,0.454265387367371,-0.696231855031141,0.700535561455724,1.15049724239851,0.246270174088353,0.246270174088353,G50,,,,,
P125-PWY,0.362674934066521,-0.803114349999586,0.640534981668966,1.16578928406611,0.277860047602446,0.277860047602446,G50,,,,,
PWY-2942,-0.386247457101097,0.0980206630490299,-0.0792472271696188,0.484268120150127,0.307000229931478,0.307000229931478,G50,,,,,
PWY-5840,0.549641817604017,-0.583031200219187,0.239604054524736,1.1326730178232,0.310037763079282,0.310037763079282,G50,,,,,
DAPLYSINESYN-PWY,-0.0320511383128506,-1.02745905226694,-0.345193164862938,0.995407913954088,0.313142026550087,0.313142026550087,G50,L-lysine biosynthesis I,MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc/BioCyc pages for DAPLYSINESYN-PWY.
PWY-5897,0.576108220427363,-0.586031364095514,0.250464531074035,1.16213958452288,0.325643689353328,0.325643689353328,G50,,,,,
PWY-5898,0.576108220427363,-0.586031364095514,0.250464531074035,1.16213958452288,0.325643689353328,0.325643689353328,G50,,,,,
PWY-5899,0.576108220427363,-0.586031364095514,0.250464531074035,1.16213958452288,0.325643689353328,0.325643689353328,G50,,,,,
PWY-6383,0.301321133377462,-0.659982153617397,0.631097885787882,0.961303286994859,0.32977675241042,0.32977675241042,G50,,,,,
KDO-NAGLIPASYN-PWY,2.67982324122052,1.94496468347071,3.023068104042,0.734858557749812,0.343244862821483,0.343244862821483,G50,,,,,
