genus	P1-1-JC-G50	P1-1-JC-NC	P1-2-JC-G25	P1-2-JC-G50	P1-2-JC-PC	P1-3-JC-G25	P1-3-JC-G50	P1-3-JC-NC	P1-3-JC-PC	P1-4-JC-G25	P1-4-JC-NC	P1-4-JC-PC	P1-5-JC-G50	P1-5-JC-PC	P1-6-JC-G50	P1-7-JC-G25	P1-7-JC-G50	P1-7-JC-NC	P1-7-JC-PC
Devosia	0	0	0	8	11	20	0	0	0	0	0	0	0	49	0	0	0	48	16
Desemzia	0	0	0	0	0	0	0	0	116	0	0	12	0	24	0	0	0	0	0
Macrococcus	0	0	0	0	0	0	21	0	55	0	0	0	73	0	0	0	0	0	0
Collinsella	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	103	0	0	0
Clostridium_sensu_stricto_13	0	0	0	49	0	0	0	0	4	0	0	0	86	0	0	0	0	0	0
Gemmata	0	0	0	0	0	0	0	0	0	0	0	0	0	68	60	0	0	8	0
Oscillibacter	0	0	0	0	0	100	0	0	0	0	0	0	0	0	25	0	0	10	0
UCG-004	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	27
Afipia	0	0	0	0	0	0	0	0	0	58	0	70	0	0	0	0	0	0	0
Pseudomonas	0	0	0	0	0	80	0	0	0	0	0	15	0	0	6	25	0	0	0
[Eubacterium]_coprostanoligenes_group	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	61	0	0	51
Salinicoccus	0	0	0	11	0	0	0	0	44	67	0	0	0	0	0	0	0	0	0
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	0	0	0	0	0	0	0	0	0	0	55	0	50	9	0	0	0	0
Flavobacterium	0	0	0	0	0	34	0	0	0	0	0	79	0	0	0	0	0	0	0
Candidatus_Cloacimonas	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	67
Nocardioides	37	0	0	0	0	13	0	0	9	0	11	0	0	32	0	0	0	0	10
Vagococcus	0	0	0	0	0	0	0	69	42	0	0	0	0	0	0	0	0	0	0
Nosocomiicoccus	0	0	0	0	0	0	0	0	50	0	0	56	0	0	0	0	0	0	0
Alloprevotella	0	0	0	0	0	0	58	0	0	0	0	47	0	0	0	0	0	0	0
Prevotellaceae_UCG-001	0	0	0	0	0	0	0	0	0	0	0	48	0	25	0	0	0	30	0
Mycobacterium	0	0	0	0	0	0	0	0	0	35	0	0	0	67	0	0	0	0	0
Peptoniphilus	0	0	0	0	0	53	0	0	0	0	0	48	0	0	0	0	0	0	0
Megamonas	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	78	6	0	0
Anaerovorax	0	0	0	9	0	0	0	0	0	0	0	69	0	20	0	0	0	0	0
Knoellia	15	28	0	0	0	0	0	0	0	0	0	29	0	22	0	0	0	0	0
Bacteroidales_UCG-001	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	70
Lachnospiraceae_UCG-001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	45	0
Bryobacter	0	0	0	0	0	0	0	0	0	0	0	12	0	78	0	0	0	0	0
Desulfotomaculum	0	0	0	0	0	0	0	0	0	0	0	20	0	67	0	0	0	0	0
Clostridium_sensu_stricto_3	0	0	0	0	0	0	0	16	0	0	0	0	8	0	0	0	0	0	61
Acetoanaerobium	0	0	0	0	0	0	0	0	0	0	0	0	29	36	0	0	0	17	0
Candidatus_Soleaferrea	0	0	0	26	0	0	0	0	0	0	0	34	0	13	0	0	0	0	0
UCG-010	0	0	0	0	0	0	0	2	0	0	0	0	0	49	17	0	0	0	0
Clostridium_sensu_stricto_16	0	0	0	37	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0
Colidextribacter	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	23	0
Candidatus_Solibacter	0	0	0	0	0	0	0	0	0	0	0	8	0	55	0	0	0	0	0
Alkaliphilus	32	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	17	0
Tsukamurella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	12	0
Acinetobacter	0	0	0	0	0	0	0	0	0	0	0	0	8	49	0	0	0	0	0
Candidatus_Saccharimonas	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	48
Brevundimonas	0	0	0	4	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0
Gastranaerophilales	0	0	0	0	0	0	0	0	0	0	0	0	4	21	0	0	0	0	27
Escherichia-Shigella	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
Puia	0	0	0	0	0	0	0	0	0	0	0	37	0	12	0	0	0	0	0
Clostridia_vadinBB60_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	19
Dermacoccaceae	0	0	0	0	0	0	0	0	7	0	0	32	8	0	0	0	0	0	0
Methylobacterium-Methylorubrum	0	0	0	0	0	31	0	0	0	0	0	15	0	0	0	0	0	0	0
Absconditabacteriales_(SR1)	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	8
Tessaracoccus	0	0	0	20	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0
Fastidiosipila	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	12	24	0	0	0	5
Pirellula	0	0	0	0	0	0	0	0	0	0	0	0	0	29	7	0	0	0	0
Faecalitalea	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	23
Rikenellaceae_RC9_gut_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	9
WD260	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	12	0
Phreatobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	3
Proteiniclasticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	23
Peredibacter	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	18	0	0	0
Atopostipes	0	0	0	0	6	0	0	0	20	0	0	0	0	0	0	0	0	0	0
CAG-352	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	18
Herpetosiphon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	19
Burkholderia-Caballeronia-Paraburkholderia	0	0	0	0	0	0	0	0	0	0	0	12	0	6	0	0	0	0	0
