feature,kw_statistic,kw_pvalue,mean_NC,mean_PC,mean_G25,mean_G50,kw_qvalue,verified_name,id_system,verification_status,source_type,source_note
PWY-6317,8.61684210526316,0.0348437524409091,0.0146863996488613,0.00867577865893949,0.0155275670576895,0.013518091263768,0.270926804400356,,,,,
PHOSLIPSYN-PWY,8.57894736842105,0.0354458693179234,0.0137193638668094,0.00960558630042239,0.0136938823124407,0.0125560187998361,0.270926804400356,,,,,
PWY-6612,8.55368421052631,0.0358529168044636,0.00268185609760287,0.00459382707600609,0.00219038124801792,0.00324170301612753,0.270926804400356,,,,,
PWY-6125,8.53,0.036238669714688,0.0124621214900673,0.00817238944381759,0.0137460790751892,0.0120577622855907,0.270926804400356,,,,,
PWY-6387,8.53,0.036238669714688,0.0137039810723342,0.00906021703324464,0.013796230331932,0.0124050285364511,0.270926804400356,,,,,
GLUCOSE1PMETAB-PWY,8.52000000000001,0.0364027579221002,0.000450074417554009,0.000424997787048592,0.00016755848051201,0.000870193335572751,0.270926804400356,glucose and glucose-1-phosphate degradation,MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc-derived pathway pages for GLUCOSE1PMETAB-PWY.
PWY-6123,8.5,0.0367331146685893,0.0114437332417063,0.00820586660449605,0.0130782377487926,0.0113035138703209,0.270926804400356,,,,,
FOLSYN-PWY,8.47473684210527,0.0371545954346686,0.0035512618238557,0.00531077642685586,0.00284658548722445,0.0041285036059874,0.270926804400356,,,,,
PWY-5667,8.42210526315789,0.038047905664308,0.0139837934053149,0.0098458010198867,0.0141216857669961,0.0130702817359595,0.270926804400356,,,,,
PWY-7228,8.42210526315789,0.038047905664308,0.0126096533264159,0.0083588894348176,0.0140796107702481,0.0124272755268359,0.270926804400356,,,,,
PWY0-1319,8.42210526315789,0.038047905664308,0.0139837934053149,0.0098458010198867,0.0141216857669961,0.0130702817359595,0.270926804400356,,,,,
PWY-7221,8.34999999999999,0.0393058609633988,0.0143552586059733,0.00946534955808566,0.0140213220239023,0.0130419760623894,0.270926804400356,,,,,
PWY-6163,8.32894736842105,0.0396807420856186,0.00275167964805043,0.0045824770490757,0.00191373859775025,0.00254159087359305,0.270926804400356,,,,,
PWY-7234,8.32894736842105,0.0396807420856186,0.0114173813567457,0.00800164974163108,0.013059765725992,0.0112889986484333,0.270926804400356,,,,,
PWY-5304,8.32736842105263,0.0397089984117276,0.000126687771922935,0.000859845128129248,0.000273496001353865,0.000200271378988526,0.270926804400356,,,,,
