Treat,NC,PC,G25,G50
NC,0.0,8.659464912746872,6.857487499178307,8.74365851233719
PC,8.659464912746872,0.0,5.757345855492502,6.607328305177781
G25,6.857487499178307,5.757345855492502,0.0,7.793147618965797
G50,8.74365851233719,6.607328305177781,7.793147618965797,0.0
