,NC,PC,G25,G50
NC,0.0,0.0674092160439774,0.020506151587404296,0.027778254521012163
PC,0.0674092160439774,0.0,0.07414522646840356,0.040163651432433924
G25,0.020506151587404296,0.07414522646840356,0.0,0.03971437526981952
G50,0.027778254521012163,0.040163651432433924,0.03971437526981952,0.0
