,NC,PC,G25,G50
NC,0.0,28.6931641157472,28.839520450324354,44.86105421991277
PC,28.6931641157472,0.0,4.824949168201284,22.656963195135592
G25,28.839520450324354,4.824949168201284,0.0,27.00415208978425
G50,44.86105421991277,22.656963195135592,27.00415208978425,0.0
