analysis,host_basis,microbiome_basis,n_points,dims,disparity,exact_permutation_p,observed_rank_among_24,permutations_file
centroid_procrustes_host_full25_vs_bray,host_full25,bray,4,Axis1-2,0.43058055986498234,0.2916666666666667,7,/home/yzyzero/feynman/experiments/glycine-procrustes-integration/procrustes/centroid_procrustes_host_full25_vs_bray_permutations.csv
centroid_procrustes_host_full25_vs_weighted_unifrac,host_full25,weighted_unifrac,4,Axis1-2,0.7845084302404408,0.8333333333333334,20,/home/yzyzero/feynman/experiments/glycine-procrustes-integration/procrustes/centroid_procrustes_host_full25_vs_weighted_unifrac_permutations.csv
centroid_procrustes_host_matched16_vs_bray,host_matched16,bray,4,Axis1-2,0.5116489518556775,0.4166666666666667,10,/home/yzyzero/feynman/experiments/glycine-procrustes-integration/procrustes/centroid_procrustes_host_matched16_vs_bray_permutations.csv
centroid_procrustes_host_matched16_vs_weighted_unifrac,host_matched16,weighted_unifrac,4,Axis1-2,0.8385548691757062,0.9166666666666666,22,/home/yzyzero/feynman/experiments/glycine-procrustes-integration/procrustes/centroid_procrustes_host_matched16_vs_weighted_unifrac_permutations.csv
