,NC,PC,G25,G50
NC,0.0,21.51261521330144,20.55929166117551,46.5665911775599
PC,21.51261521330144,0.0,3.2249986655242675,30.77683264535938
G25,20.55929166117551,3.2249986655242675,0.0,33.91992653085202
G50,46.5665911775599,30.77683264535938,33.91992653085202,0.0
