,NC,PC,G25,G50
NC,0.0,0.23898739510840708,0.2719074456208869,0.3329058996439226
PC,0.23898739510840708,0.0,0.2982439932662345,0.18883791949529116
G25,0.2719074456208869,0.2982439932662345,0.0,0.20202712264651027
G50,0.3329058996439226,0.18883791949529116,0.20202712264651027,0.0
