module,treat,distance_to_pc,nc_to_pc_distance,ratio_vs_nc_pc,closer_to_pc_than_nc
AUTOPHAGY_PROTEOSTASIS,G25,0.18151317903977937,0.6024419380073182,0.30129572260551096,True
AUTOPHAGY_PROTEOSTASIS,G50,0.11965593648284323,0.6024419380073182,0.1986182052309076,True
ECM_ADHESION,G25,0.020799724642982548,0.46868067218610904,0.04437930957546113,True
ECM_ADHESION,G50,0.22387438800105075,0.46868067218610904,0.477669341380803,True
GOLGI_VESICLE,G25,0.23913731363321167,0.6629788183964788,0.3607012878806654,True
GOLGI_VESICLE,G50,0.113018005923502,0.6629788183964788,0.1704700101835143,True
RESPIRATION_OXPHOS,G25,0.21407243903038314,0.5910888643683653,0.36216625271589226,True
RESPIRATION_OXPHOS,G50,0.2776167094231811,0.5910888643683653,0.46967000422151584,True
