,P1-2-JC-G25,P1-3-JC-G25,P1-4-JC-G25,P1-1-JC-G50,P1-2-JC-G50,P1-3-JC-G50,P1-6-JC-G50,P1-7-JC-G50,P1-1-JC-NC,P1-3-JC-NC,P1-4-JC-NC,P1-7-JC-NC,P1-2-JC-PC,P1-3-JC-PC,P1-4-JC-PC,P1-5-JC-PC,P1-7-JC-PC
Romboutsia,0.0,0.010285255122539172,0.0,0.002492581602373887,0.021695594125500667,0.009534492428491307,0.0326955074875208,0.005136512702991031,0.0,0.0,0.0,0.0052970109723798715,0.029843532894339393,0.008638166593212869,0.08286637931034482,0.004712695889166478,0.23301563095691954
Enterococcus,0.003550996251726179,0.016713539574126156,0.005112474437627812,0.052818991097922846,0.014723334816792761,0.021873247335950644,0.019384359400998336,0.024931842427594927,0.013856812933025405,0.018149882903981264,0.018548345196654024,0.011275066212637155,0.01915060714069957,0.042044953724107534,0.008620689655172414,0.014194867136043607,0.017079679756004575
Clostridia_UCG-014,0.0,0.0032141422257934912,0.0,0.0,0.0002966918854769322,0.009197980931015143,0.002329450915141431,0.0,0.0,0.0,0.0,0.0,0.001933184317042228,0.0,0.005280172413793104,0.006472859414035885,0.01181852840259245
Turicibacter,0.0,0.0,0.0,0.0,0.003819908025515502,0.0,0.00324459234608985,0.0,0.0,0.0,0.0,0.0,0.004530900743067722,0.007315998237108858,0.022629310344827586,0.0,0.038963019443385434
Lachnospiraceae_NK4A136_group,0.0,0.007312173563680193,0.009129418638621092,0.0,0.00018543242842308262,0.010319685922602356,0.0034941763727121466,0.0,0.0,0.0,0.0,0.005448354143019296,0.0,0.0,0.008297413793103448,0.004315239609357257,0.0
Bacteroides,0.0,0.01301727601446364,0.002264095822378031,0.0,0.0,0.0,0.005574043261231281,0.0,0.0,0.0,0.0,0.0005297010972379871,0.0,0.0,0.007543103448275862,0.009709289121053826,0.0035836828059473886
