sample,Treat,Replicate,Dim1,Dim2,centroid_Dim1,centroid_Dim2,dist_to_centroid,group_median_dist,group_mad_dist,robust_z,outlier_candidate
P1-1-JM-NC-R,NC,1,-1.2840744340158359,-0.07690641461846918,-0.5317066549247014,0.02417510720855692,0.7591276237032833,0.6929583418384675,0.0812322278955,0.8145693350912196,FALSE
P1-2-JM-NC-R,NC,2,-1.5042913209370083,-0.13541378753582037,-0.5317066549247014,0.02417510720855692,0.9855909637816302,0.6929583418384675,0.0812322278955,3.6024202403954213,TRUE
P1-3-JM-NC-R,NC,3,0.1607703453222904,0.04999888796285586,-0.5317066549247014,0.02417510720855692,0.6929583418384675,0.6929583418384675,0.0812322278955,0,FALSE
P1-4-JM-NC-R,NC,4,-1.0723029341243737,-0.048809923272267824,-0.5317066549247014,0.02417510720855692,0.5455008265427441,0.6929583418384675,0.0812322278955,-1.8152587847943542,FALSE
P1-5-JM-NC-R,NC,5,-0.32305294569266696,0.06080789000822848,-0.5317066549247014,0.02417510720855692,0.21184506402541994,0.6929583418384675,0.0812322278955,-5.9226896796671475,FALSE
P1-6-JM-NC-R,NC,6,0.08752074576760807,0.08546451765972046,-0.5317066549247014,0.02417510720855692,0.6222531362730164,0.6929583418384675,0.0812322278955,-0.8704083021877572,FALSE
P1-7-JM-NC-R,NC,7,0.21348395920707666,0.23408458025565101,-0.5317066549247014,0.02417510720855692,0.7741905697339675,0.6929583418384675,0.0812322278955,1,FALSE
P1-1-JM-PC-R,PC,1,-0.045019614210674574,-0.07629057246345623,0.12716423415507366,0.06563602357548674,0.22313770703590258,0.22313770703590258,0.04044611539188386,0,FALSE
P1-2-JM-PC-R,PC,2,0.749100013169008,0.2849312604413904,0.12716423415507366,0.06563602357548674,0.659465324433167,0.22313770703590258,0.04044611539188386,10.787874513279469,TRUE
P1-3-JM-PC-R,PC,3,0.1814062724992402,0.03529897517651591,0.12716423415507366,0.06563602357548674,0.06214929789862097,0.22313770703590258,0.04044611539188386,-3.980318198112702,FALSE
P1-4-JM-PC-R,PC,4,-0.025846345950965608,-0.03418371411720725,0.12716423415507366,0.06563602357548674,0.1826915916440187,0.22313770703590258,0.04044611539188386,-1,FALSE
P1-5-JM-PC-R,PC,5,-0.47566391452210594,-0.19544430134152552,0.12716423415507366,0.06563602357548674,0.6569358514317273,0.22313770703590258,0.04044611539188386,10.725335182198313,TRUE
P1-6-JM-PC-R,PC,6,0.3076505087037518,0.16216957629168974,0.12716423415507366,0.06563602357548674,0.20468029240860677,0.22313770703590258,0.04044611539188386,-0.45634579361852806,FALSE
P1-7-JM-PC-R,PC,7,0.1985227193972617,0.2829709410410002,0.12716423415507366,0.06563602357548674,0.2287498628760269,0.22313770703590258,0.04044611539188386,0.13875636227973767,FALSE
P1-1-JM-G25-R,G25,1,-0.0751056060427224,0.1423760301712934,0.15863345482404645,0.16674702030960864,0.23500615680275472,0.20767574357700241,0.12910614478010135,0.2116894844339325,FALSE
P1-2-JM-G25-R,G25,2,0.555336028377475,0.1989723572686173,0.15863345482404645,0.16674702030960864,0.39800930165768117,0.20767574357700241,0.12910614478010135,1.474240892289537,FALSE
P1-3-JM-G25-R,G25,3,-0.31728630036984146,0.06387484774068909,0.15863345482404645,0.16674702030960864,0.48691097468927497,0.20767574357700241,0.12910614478010135,2.1628345543728917,FALSE
P1-4-JM-G25-R,G25,4,0.3261428162545197,0.23356806499357485,0.15863345482404645,0.16674702030960864,0.18034533035125008,0.20767574357700241,0.12910614478010135,-0.21168948443393273,FALSE
P1-5-JM-G25-R,G25,5,0.20111260834816208,0.1511591686884015,0.15863345482404645,0.16674702030960864,0.04524886299444612,0.20767574357700241,0.12910614478010135,-1.2580879156387803,FALSE
P1-6-JM-G25-R,G25,6,0.2616011823766859,0.21053165299507567,0.15863345482404645,0.16674702030960864,0.11189033459935604,0.20767574357700241,0.12910614478010135,-0.7419120843612195,FALSE
P1-1-JM-G50-R,G50,1,0.3265867513249555,0.07819972431689974,0.37599924328862294,-0.32583200746919183,0.40704205513942626,0.6293524606813495,0.22231040554192327,-1,FALSE
P1-2-JM-G50-R,G50,2,0.8314793082268611,0.10847483130902484,0.37599924328862294,-0.32583200746919183,0.6293524606813495,0.6293524606813495,0.22231040554192327,0,FALSE
P1-3-JM-G50-R,G50,3,-0.3185899599760884,-0.0191014090924813,0.37599924328862294,-0.32583200746919183,0.7593008766440623,0.6293524606813495,0.22231040554192327,0.5845359134042294,FALSE
P1-6-JM-G50-R,G50,6,0.22544966991359125,-0.47084099618671355,0.37599924328862294,-0.32583200746919183,0.2090281819570806,0.6293524606813495,0.22231040554192327,-1.8907089737866734,FALSE
P1-7-JM-G50-R,G50,7,0.8150704469537952,-1.325892187692689,0.37599924328862294,-0.32583200746919183,1.0922013944125126,0.6293524606813495,0.22231040554192327,2.0819940146430937,FALSE
