group1,group2,centroid_distance
G50,NC,0.9728488978131706
G25,NC,0.7049086590000205
NC,PC,0.6601741104153956
G25,G50,0.5384068950174535
G50,PC,0.46385998005916723
G25,PC,0.1058949739604298
