pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_AXO_DENDRITIC_TRANSPORT,0.933884297520661,0.983325899101088,0.0314928902471297,0.186028422283979,0.708667988388934,68,RUFY4|SYBU|AP3B2|APP|NDEL1|SFPQ|APBA1|TERF2|KIF3A|AGTPBP1|HIF1A|RAB21|ARL8B|KIF1A|MAPK8IP3|KIF5C|ARL8A|DCTN1|STAU1|HNRNPU|UCHL1|KIF4B
GOBP_MITOTIC_G2_M_TRANSITION_CHECKPOINT,0.933526011560694,0.983325899101088,0.0338245444462164,0.188937679251633,0.677125733124796,47,TOPBP1|ETAA1|ATR|BLM|DBF4|CLSPN|CDKN1A|RAD50|TAOK3|PLK1|BRCA1|BABAM1|CHFR|CDC7|MBTPS2|ATM|CHEK1|TICRR|FAM175A|GLTSCR2|BRE|RAD17|MBTPS1|HUS1|CDK1|RINT1|UIMC1|ORC1
GOBP_SKELETAL_MUSCLE_ACETYLCHOLINE_GATED_CHANNEL_CLUSTERING,0.93368700265252,0.983325899101088,0.0619762736001998,-0.197693375212347,-0.618838828423835,17,ETV5|RAPSN|LARGE1|RER1|MESDC2|LRP4
GOBP_L_SERINE_METABOLIC_PROCESS,0.934036939313984,0.983325899101088,0.0617054053637523,-0.226283825581579,-0.592343772776597,10,SDSL|SRR|SERINC3
GOBP_MITOTIC_CYTOKINESIS,0.934515688949523,0.983595051940426,0.0309900819310557,0.187805046713309,0.73159413416856,83,RHOB|SPTBN1|ARL3|UNC119|IQGAP3|LZTS2|EXOC1|RHOC|EXOC6|ESPL1
GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE,0.936263736263736,0.985199716751029,0.0190794888813551,0.169210943003203,0.80251919971831,403,HSPA2|CAV2|ADAMTS1|ANXA1|TAL1|FGFR1|FHL1|CTDSPL|CDKN2C|CHEK2|ID2|RDX|TOPBP1|DDR2|IGF2|PKD1|IQGAP3|RCC2|DACT1|TP53|PKD2|GFI1B|BCL2|AVEN|NEK7|GPR132|TTL|APP|SMARCA4|AKT1|CDC23|SMARCC2|ZFP36L1|RCC1|NSMCE2|SASS6|SMARCD2|DAPK3|KNTC1|ESPL1|TCF3|EZH2|CYLD|HECW2|BORA|PLCB1|TMEM8B|LSM11|ETAA1|ATR|INHBA|TP73|BRD4|RPA3|ZFP36L2|PDGFRB|SMARCA2|DRD3|SPC25|DYNLL2|TRIAP1|BLM|DUSP3|KIF14|MAEA|DGKZ|PLK3|DBF4|RNF20|WEE1|CLSPN|KMT2E|PDXP|RAD51C|MDM2|PINX1|CDKN1A|BCL6|STAT5A|RAD50|DPF2|CDK7|TAOK3|PIM1|CCND2|FANCD2|STIL|NFE2L1|RAD51B|CDK5RAP2|ASNS|FBXO5
GOBP_CARDIAC_CONDUCTION,0.936813186813187,0.985381845143523,0.0312052969963336,0.189922244176646,0.725109431188978,69,CAV1|SLC8A3|KCND3|KCNE4|TBX18|KCNH2|BIN1|ATP2B4|SCN4B|GJC3|KCNJ2|CACNA2D1
GOBP_PYRIMIDINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,0.937694704049844,0.985381845143523,0.0696133438850965,-0.184086685686726,-0.707651422215233,38,NME3|SLC4A7|DHFR|CDA|AK5|CTPS2|UCK2|TK1|NME7|PRPS1L1|CPS1|MTOR|UPP2|AK9
GOBP_FC_RECEPTOR_SIGNALING_PATHWAY,0.937777777777778,0.985381845143523,0.0347904098478036,0.193271272633217,0.673192489380871,41,SYK|NR4A3|MAPK9|FGR|PLCG1|MAP3K1
GOBP_MITOTIC_CHROMOSOME_CONDENSATION,0.93732970027248,0.985381845143523,0.0630790410571939,-0.195459538630538,-0.619475149959744,18,TTN|NCAPH2|SMARCA5|CHMP1A|BAZ1B|PAPD7|PHF13|NCAPD3|KMT5A|NCAPG|SMC4|AKAP8L|SMC2|NUSAP1|NCAPH|NCAPD2|PLK1|AKAP8
