Treat,n,mean_distance_to_centroid,median_distance_to_centroid,max_distance_to_centroid,nearest_centroid_accuracy,outlier_candidates
G25,6,0.24290182684912717,0.20767574357700241,0.4869109746892749,0.6666666666666666,0
G50,5,0.6193849937668862,0.6293524606813495,1.0922013944125126,0.6,0
NC,7,0.6559237894140756,0.6929583418384676,0.9855909637816301,0.5714285714285714,1
PC,7,0.3168299896754386,0.22313770703590252,0.6594653244331669,0.42857142857142855,2
